iter	Passed	Remaining
0	204	204212
1	207	103551
2	210	69819
3	213	53260
4	218	43496
5	221	36669
6	223	31743
7	228	28301
8	230	25414
9	232	23045
10	234	21093
11	236	19465
12	239	18191
13	242	17091
14	244	16057
15	246	15153
16	248	14341
17	249	13625
18	252	13034
19	254	12478
20	256	11974
21	258	11491
22	260	11060
23	262	10676
24	266	10391
25	269	10100
26	287	10362
27	291	10103
28	293	9810
29	297	9610
30	300	9392
31	303	9187
32	305	8947
33	306	8720
34	310	8573
35	313	8400
36	315	8208
37	317	8025
38	318	7847
39	320	7681
40	321	7520
41	323	7388
42	326	7259
43	327	7124
44	329	6993
45	331	6868
46	332	6748
47	335	6662
48	338	6563
49	340	6462
50	341	6358
51	343	6267
52	345	6171
53	346	6077
54	349	6005
55	351	5925
56	353	5854
57	355	5775
58	357	5698
59	359	5624
60	360	5552
61	362	5487
62	364	5427
63	367	5372
64	369	5308
65	370	5248
66	372	5189
67	374	5129
68	376	5077
69	378	5031
70	381	4990
71	383	4939
72	384	4888
73	386	4838
74	388	4789
75	391	4755
76	394	4725
77	396	4690
78	398	4647
79	400	4603
80	401	4559
81	403	4517
82	405	4475
83	408	4458
84	411	4434
85	413	4394
86	415	4356
87	416	4321
88	418	4285
89	421	4262
90	423	4233
91	426	4205
92	427	4170
93	429	4135
94	430	4103
95	432	4069
96	434	4047
97	437	4024
98	439	4000
99	441	3970
100	442	3940
101	444	3910
102	445	3882
103	447	3854
104	450	3836
105	452	3815
106	454	3791
107	456	3767
108	457	3743
109	459	3718
110	461	3694
111	465	3692
112	468	3678
113	470	3656
114	472	3632
115	473	3609
116	474	3583
117	476	3562
118	479	3548
119	481	3532
120	483	3515
121	485	3492
122	486	3471
123	488	3450
124	490	3430
125	492	3416
126	494	3402
127	497	3388
128	499	3371
129	500	3352
130	502	3334
131	504	3316
132	507	3305
133	509	3293
134	512	3283
135	514	3268
136	516	3251
137	517	3233
138	519	3217
139	522	3210
140	524	3196
141	526	3179
142	527	3163
143	529	3147
144	531	3131
145	532	3115
146	534	3101
147	537	3092
148	539	3082
149	541	3070
150	543	3056
151	545	3042
152	547	3028
153	548	3013
154	551	3005
155	553	2995
156	555	2983
157	557	2970
158	559	2956
159	560	2943
160	561	2927
161	563	2913
162	565	2905
163	568	2895
164	570	2884
165	571	2871
